City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,xingyi,24.19,102.82,75.65,63,98,8.88,CN,1594788967
88,luderitz,-26.65,15.16,55.4,47,0,6.93,NA,1594788913
89,houma,29.6,-90.72,82.0,88,1,4.74,US,1594788907
90,nouakchott,18.09,-15.98,71.6,88,40,14.99,MR,1594788873
91,colan,7.59,-80.23,74.61,92,81,3.6,PA,1594788967
92,tautira,-17.73,-149.15,78.8,83,75,4.7,PF,1594788932
93,mariental,-24.63,17.97,32.04,93,0,10.83,NA,1594788967
94,cape town,-33.93,18.42,44.6,81,1,8.05,ZA,1594788889
95,haines junction,60.75,-137.51,49.69,83,100,0.29,CA,1594788638
96,rorvik,64.86,11.24,57.2,76,74,4.7,NO,1594788682
97,chipinge,-20.19,32.62,44.94,69,2,4.41,ZW,1594788968
98,urusha,54.05,122.9,89.17,33,48,6.04,RU,1594788968
99,luang prabang,19.89,102.13,87.8,66,40,2.91,LA,1594788955
100,sao filipe,14.9,-24.5,76.23,86,35,10.69,CV,1594788946
101,cidreira,-30.18,-50.21,43.23,74,0,9.24,BR,1594788900
102,mount gambier,-37.83,140.77,55.4,71,59,5.82,AU,1594788946
103,kaeo,-35.1,173.78,59.0,3,100,11.99,NZ,1594788604
104,komsomolskiy,40.43,71.72,86.0,30,0,4.7,UZ,1594788902
105,langsa,4.47,97.97,88.56,62,99,3.85,ID,1594788969
106,new norfolk,-42.78,147.06,51.01,84,100,2.13,AU,1594788629
107,garowe,8.41,48.48,80.89,55,100,26.84,SO,1594788969
108,tutoia,-2.76,-42.27,77.2,83,0,9.4,BR,1594788969
109,ahipara,-35.17,173.17,61.18,92,100,14.67,NZ,1594788917
110,mago,53.25,140.18,82.87,41,54,6.04,RU,1594788970
111,provideniya,64.38,-173.3,48.2,93,90,8.95,RU,1594788896
112,klaksvik,62.23,-6.59,50.0,93,88,3.36,FO,1594788970
113,moshi,-3.35,37.33,66.2,93,75,5.82,TZ,1594788970
114,cherskiy,68.75,161.3,45.97,64,0,19.57,RU,1594788901
115,fairbanks,64.84,-147.72,69.8,49,1,8.05,US,1594788832
116,guerrero negro,27.98,-114.06,68.18,85,1,14.88,MX,1594788941
117,umm lajj,25.02,37.27,88.66,39,0,7.0,SA,1594788971
118,aksarka,66.56,67.8,54.61,94,100,9.26,RU,1594788971
119,trincomalee,8.57,81.23,87.28,68,99,14.79,LK,1594788971
120,san quintin,30.48,-115.95,67.51,83,0,13.31,MX,1594788932
121,massaguet,12.48,15.44,71.6,94,20,9.17,TD,1594788972
122,bengkulu,-3.8,102.27,82.27,64,98,1.3,ID,1594788899
123,ostrovnoy,68.05,39.51,49.1,75,100,7.7,RU,1594788887
124,magaria,13.0,8.91,77.99,73,100,9.06,NE,1594788972
125,vitim,59.45,112.56,93.78,31,35,0.78,RU,1594788972
126,puerto ayora,-0.74,-90.35,66.99,93,92,6.04,EC,1594788618
127,karratha,-20.74,116.85,80.62,25,81,15.64,AU,1594788883
128,neiafu,-18.65,-173.98,78.8,61,40,11.41,TO,1594788973
129,khatanga,71.97,102.5,59.77,77,100,10.78,RU,1594788884
130,nome,64.5,-165.41,51.8,87,90,6.93,US,1594788861
131,meulaboh,4.14,96.13,85.96,66,62,5.03,ID,1594788884
132,geraldton,-28.77,114.6,68.0,60,40,12.75,AU,1594788637
133,port alfred,-33.59,26.89,51.04,66,90,14.27,ZA,1594788844
134,ribeira grande,38.52,-28.7,68.81,79,0,2.64,PT,1594788886
135,khor,47.89,134.95,78.57,74,53,4.79,RU,1594788974
136,cabadiangan,9.75,122.47,86.72,67,46,2.8,PH,1594788974
137,kirakira,-10.45,161.92,82.0,79,96,10.22,SB,1594788974
138,tiksi,71.69,128.87,41.92,73,0,11.27,RU,1594788914
139,iqaluit,63.75,-68.51,50.0,76,20,3.36,CA,1594788683
140,dakar,14.69,-17.44,75.2,88,20,5.82,SN,1594788919
141,uthal,25.81,66.62,91.31,58,22,2.24,PK,1594788975
142,chokurdakh,70.63,147.92,42.76,64,99,13.67,RU,1594788639
143,araouane,18.9,-3.53,86.65,47,92,11.39,ML,1594788901
144,arona,28.1,-16.68,73.99,77,0,4.7,ES,1594788975
145,biak,-0.91,122.88,79.41,84,79,8.19,ID,1594788975
146,oksfjord,70.24,22.35,57.2,62,0,12.75,NO,1594788976
